Code,CountryCode,Latitude,Longitude,State
99501,US,61.217287,-149.868937,AK
99502,US,61.161854,-149.988244,AK
99503,US,61.188097,-149.889148,AK
99504,US,61.204087,-149.742907,AK
99505,US,61.271326,-149.648235,AK
99506,US,61.264386,-149.799706,AK
99507,US,61.151174,-149.779158,AK
99508,US,61.204143,-149.812691,AK
99509,US,61.189181,-149.908274,AK
99510,US,61.219335,-149.888349,AK
99511,US,61.109774,-149.860466,AK
99513,US,61.215365,-149.885715,AK
99514,US,61.214251,-149.810956,AK
99515,US,61.114536,-149.893144,AK
99516,US,61.072669,-149.715143,AK
99517,US,61.189966,-149.936289,AK
99518,US,61.15918,-149.884422,AK
99519,US,61.18983,-149.989742,AK
99520,US,61.214339,-149.866955,AK
99521,US,61.199076,-149.73343,AK
99522,US,61.151532,-149.921908,AK
99523,US,61.16752,-149.838107,AK
99524,US,61.190224,-149.989886,AK
99529,US,61.21755,-149.887749,AK
99530,US,61.21755,-149.887749,AK
99540,US,61.000666,-149.530109,AK
99545,US,60.785569,-161.797613,AK
99546,US,51.789444,-176.696649,AK
99547,US,52.200007,-174.425293,AK
99548,US,56.288146,-158.406185,AK
99549,US,56.944565,-158.590129,AK
99550,US,57.874537,-152.883298,AK
99551,US,60.87816,-161.409778,AK
99552,US,60.887188,-161.191724,AK
99553,US,54.127668,-165.918246,AK
99554,US,62.719829,-163.696418,AK
99555,US,59.34293,-158.758986,AK
99556,US,59.814235,-151.662899,AK
99557,US,61.490804,-156.683203,AK
99558,US,63.272541,-160.128556,AK
99559,US,60.853144,-161.667017,AK
99561,US,60.167862,-164.212858,AK
99563,US,61.33506,-164.60455,AK
99564,US,56.299679,-158.412895,AK
99565,US,56.304616,-158.502487,AK
99566,US,61.519371,-144.449618,AK
99567,US,61.430897,-149.41645,AK
99568,US,60.20043,-151.387593,AK
99569,US,58.82988,-157.981128,AK
99571,US,55.73976,-161.128461,AK
99572,US,60.456717,-149.987705,AK
99573,US,61.664435,-143.873988,AK
99574,US,60.505748,-143.713621,AK
99575,US,61.790549,-157.956082,AK
99576,US,59.205437,-160.52445,AK
99577,US,61.225483,-149.305068,AK
99578,US,59.753834,-161.893766,AK
99579,US,58.178396,-157.335327,AK
99580,US,59.355795,-157.484381,AK
99581,US,62.909572,-164.357711,AK
99583,US,54.737805,-164.093673,AK
99585,US,61.732635,-161.931958,AK
99586,US,62.408851,-143.140453,AK
99587,US,60.971085,-149.12362,AK
99588,US,62.055526,-146.369847,AK
99589,US,59.156206,-161.513791,AK
99590,US,64.079262,-159.683027,AK
99591,US,56.582727,-169.619142,AK
99599,US,61.186488,-149.878735,AK
99602,US,62.229328,-160.443036,AK
99603,US,59.840232,-151.303079,AK
99604,US,61.529873,-165.46387,AK
99605,US,60.916201,-149.636592,AK
99606,US,59.765557,-155.796472,AK
99607,US,61.542893,-160.334944,AK
99608,US,57.800215,-152.397293,AK
99609,US,60.880167,-162.044223,AK
99610,US,60.331683,-151.27775,AK
99611,US,60.75431,-150.480391,AK
99612,US,55.359791,-161.935086,AK
99613,US,58.731027,-156.48296,AK
99614,US,59.921871,-164.063113,AK
99615,US,57.420847,-153.552341,AK
99619,US,57.798175,-152.398755,AK
99620,US,63.096897,-164.002077,AK
99621,US,60.779611,-161.396325,AK
99622,US,59.888091,-163.109967,AK
99623,US,61.532309,-149.874459,AK
99624,US,57.555348,-153.987071,AK
99625,US,59.158423,-155.283638,AK
99626,US,61.516781,-160.358894,AK
99627,US,62.946944,-154.958831,AK
99628,US,58.89706,-158.926784,AK
99629,US,61.582638,-149.441409,AK
99630,US,60.095853,-166.385122,AK
99631,US,60.609298,-149.253246,AK
99632,US,62.169607,-164.537503,AK
99633,US,58.847858,-156.710141,AK
99634,US,60.683347,-161.743443,AK
99635,US,60.730993,-151.302009,AK
99636,US,59.567951,-157.640573,AK
99637,US,60.53621,-165.099353,AK
99638,US,53.268001,-168.455813,AK
99639,US,60.035616,-151.429392,AK
99640,US,60.021529,-154.591519,AK
99641,US,61.011168,-162.062013,AK
99643,US,57.223654,-153.305494,AK
99644,US,57.921227,-152.508261,AK
99645,US,61.681322,-147.98348,AK
99647,US,59.785335,-154.122506,AK
99648,US,55.934529,-159.218546,AK
99649,US,57.525677,-157.384464,AK
99650,US,61.686121,-163.158711,AK
99651,US,58.936353,-161.364082,AK
